loved,posted_count,loved_count,artist_index_mod,site_index_mod,valence,instrumentalness,tagsum,loudness,speechiness,tempo,time_signature,acousticness,danceability,duration,energy,liveness,artist,title,sitename,mediaid
True,0.085201793722,0.110710431418,0.5,0.5,0.504283,0.0,4,0.499076532379,0.366352,101.766,5.0,0.014809,0.41753,242.91156,0.581927,0.150996,drake,Over,surviving the golden age,105xk
True,0.00896860986547,0.0372983074939,0.0,1.0,0.302588,0.170489,4,0.632835045596,0.029625,78.987,4.0,0.143358,0.507164,297.8,0.499851,0.070468,angusjuliastone,Silver Coin,Streetkiss music,106x7
True,0.0627802690583,0.054407622858,0.0,0.0,0.049159,0.458736,1,0.626976797876,0.033954,85.249,4.0,0.505474,0.122716,254.97333,0.446829,0.088623,jonsi,Tornado,The Wounded Jukebox,1077k
True,0.0224215246637,0.137269353268,1.0,0.0,0.0,0.0,4,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yeahyeahyeahs,Maps [TGIK Remix],Raised on Indie,107a4
True,0.139013452915,0.634597667869,1.0,0.0,0.839414,8e-06,2,0.833718111509,0.040682,139.048,4.0,0.000665,0.550178,189.69333,0.752621,0.092074,twodoorcinemaclub,What You Know,Simply 7,107fw
True,0.0,0.0248479903135,0.0,0.0,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,birdman,Loyalty f. Lil Wayne & Tyga,earmilk,107nt
True,0.0,0.0822036798189,0.0,0.0,0.0,0.0,0,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kidcudiftsnoopdogg,I Do My Thing (prod. by Dr. Dre),First up!,107z7
True,0.0403587443946,0.0413255771104,0.7,0.0,0.0,0.0,1,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thewhitepanda,"Ready For My Neck, My Back (Hot Chip // Khia)",FYaCity,1088r
True,0.0134529147982,0.0254533968572,0.0,0.0,0.0,0.0,4,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kidzinthehall,Take Over the World (Feat. Colin Munroe) (Prod. Just Blaze),blahblahblahscience,108mg
True,0.00448430493274,0.122502698007,0.0,0.0,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clockwork,Office Musik (Dwight K. Shrute Vs. Weezy F. Baby),The Music Ninja,10dfz
True,0.0627802690583,0.248637835277,0.7,0.25,0.0,0.0,1,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thewhitepanda,Tipsy In The Sun (Weezer // J-Kwon),Salacious Sound,10e1a
True,0.0358744394619,0.225184912216,1.0,1.0,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thehoodinternet,Nuthin' But A Journal Thang (Dr. Dre vs Class Actress),Hear No Evil,10g9w
True,0.0358744394619,0.0043168118765,0.0,0.0,0.443002,0.094505,4,0.294009003809,0.034774,77.598,3.0,0.809253,0.33067,246.46485,0.142864,0.108458,dawes,When My Time Comes,The Ruckus,10hkx
True,0.417040358744,0.585928246164,0.0,0.0,0.578098,4e-06,4,0.771268613644,0.068147,108.952,4.0,0.001423,0.459168,211.04,0.708259,0.485226,theblackkeys,Tighten Up,Indie Shuffle,10k0q
True,0.0313901345291,0.0518543865652,1.0,0.478260869565,0.0,0.0,5,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,waitwhat,juicy-r [the notorious b.i.g. vs. the xx],Indie Shuffle,10npy
True,0.00448430493274,0.00731752257114,0.0,0.0,0.0,0.0,2,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bonethugsnharmony,D.O.A. (Jay Z Cover),melophobe,10nwd
True,0.0,0.00887052196573,0.0,0.0,0.614181,0.033112,4,0.675487706337,0.161527,194.627,4.0,0.091676,0.737914,211.53288,0.782807,0.103441,sublime,Scarlet Begonias,Hear No Evil,10rst
True,0.00448430493274,0.0128188255113,1.0,0.0,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,waitwhat,it's all about the crystalizabeths [the notorious b.i.g. vs. the xx],THE RATCATCHERS,10s0d
True,0.00896860986547,0.043168118765,1.0,0.545454545455,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,waitwhat,mo stars mo problems [the notorious b.i.g. vs. the xx],Sunset in the Rearview,10s0e
True,0.00896860986547,0.0940485904556,0.0,0.0,0.0,0.0,0,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jayzvsblackkids,Not Gunna Encore (Ha! Yes Mash-Up),say it like slam,10s43
True,0.0224215246637,0.110552499276,1.0,1.0,0.0,0.0,7,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,waitwhat,Islands Is The Limit (The Notorious B.I.G. vs. the xx),La detente generale,10s72
True,0.385650224215,0.585164907478,1.0,0.666666666667,0.556294,0.522042,3,0.776030243565,0.037011,119.953,4.0,0.007689,0.653571,249.38667,0.914582,0.047523,twodoorcinemaclub,Something Good Can Work (The Twelves Remix),All Things Go,10spe
True,0.00448430493274,0.101629333263,0.0,0.0,0.0,0.0,0,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kidcudivsthepostalservice,Man On the Moon (Such Great Heights RMX),Muzjiks,10tpe
True,0.0627802690583,0.038956594983,0.0,0.0,0.392309,0.000186,1,0.860325522336,0.34078,185.982,4.0,0.635174,0.207594,213.05424,0.977203,0.98973,trampledbyturtles,Wait So Long,SUCKA PANTS,110ex
True,0.0403587443946,0.211128951594,1.0,0.545454545455,0.0,0.0,2,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chiddybang,Hey London,Sunset in the Rearview,112cr
True,0.00448430493274,0.0507225395488,0.0,0.0,0.0,0.0,0,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ludacrisvske$ha,$hwagger Jagger (Pres Mashup),20 Watts,112sm
True,0.0493273542601,0.136979811008,0.0,0.0,0.0,0.0,0,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,justinbieberxmstrkrft,Heartbreaker Baby (CJ Milli Mix),Music That We Like,11626
True,0.130044843049,0.432760390619,0.0,0.0,0.78784,0.365558,2,0.748153064758,0.028789,128.994,4.0,0.076594,0.727258,390.69723,0.782385,0.102487,thetempertrap,Sweet Disposition (RAC Mix),J(am) of the Day,11akb
True,0.0269058295964,0.141954673475,0.0,0.0,0.376103,0.0,3,0.677103774674,0.378394,182.745,4.0,0.115251,0.449118,200.45288,0.666323,0.434811,bob,Not Lost feat. T.I.,Mixtape Maestro,11egv
True,0.0986547085202,0.0684899055039,0.0,0.0,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ugk,Int'l Players Anthem (Feat. OutKast),The Music Ninja,11f4z
True,0.00896860986547,0.0376931378484,1.0,0.0,0.667213,0.000596,3,0.51656470045,0.247258,86.342,4.0,0.48792,0.64659,209.37098,0.659015,0.531436,gangstarr,Above The Clouds,A Grumpy Old Man With A Beard,11f9p
True,0.0,0.0407464925904,1.0,0.75,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lupefiasco,Love Letter To The Beat,Pigeons and Planes,11fnw
True,0.00448430493274,0.0369034771393,0.0,0.0,0.0,0.0,2,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camron,Spend The Night,One A Day,11gk0
True,0.0,0.0161354004896,0.666666666667,1.0,0.0,0.0,1,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mgmt,Kids (DJ STHLM Remix),earmilk,11mhk
True,0.0,0.0361401384538,1.0,0.0,0.0,0.0,3,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shwayze,04 GET U HOME - (Bloody Beetroots Italo Disco Rmx),Stoney Roads,11mk1
True,0.0,0.0315864283646,0.0,0.0,0.661585,0.000277,5,0.547760591019,0.070688,121.982,4.0,0.925141,0.84175,160.41751,0.24758,0.096785,lilyallen,Everybody's Changing,Town Full of Losers,11nf2
True,0.00448430493274,0.0210839409334,0.0,0.0,0.0,0.0,2,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thejimihendrixexperience,Like A Rolling Stone (Bob Dylan Cover),indie shuffle,11ngk
True,0.134529147982,0.13258403306,0.0,0.0,0.0,0.0,0,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crystalcastles,Vietnam (lightsoverla remix),ACE,11nnh
True,0.0538116591928,0.293016767129,0.0,0.0,0.0,0.0,2,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deadmau5,Some Chords (Original Mix),Intentional Independent Inspiration,11p39
True,0.0403587443946,0.126161459293,0.7,0.583333333333,0.0,0.0,1,0.949238139213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thewhitepanda,Drake & Diane (Drake // John Mellencamp),Silence Nogood,11px3
True,0.0313901345291,0.240951804375,1.0,0.478260869565,0.565706,0.003342,4,0.800271268614,0.050254,154.934,4.0,0.002543,0.515901,223.90667,0.876463,0.354627,twodoorcinemaclub,"Eat That Up, It's Good For You",Indie Shuffle,11sem
